,A. Basic Identifiers,,,,,,B. Building Information,,,,,,C. Subject's Personal Information,,,,,D. Subjective Thermal Comfort Information,,,,,,E. Indoor Physical Parameters,,,,,,,,,,,,,,,,,,F. Indoor Calculated Parameters,,,,,G.Outdoor Environment Parameters,,,,,,
ID,A1.Code,A2.Date,A3.Data Contributor,A4.Season,A5.City,A6.Climate Zone,B1.Building Type,B2.Building Function,B3.Floors,B4.Building Operation Mode,B5.Room (Length¡ÁWidth),B5.Room Height (m),C1.Sex,C2.Age,C3.Height£¨cm£©,C4.Weight£¨kg£©,C5.Living Years,D1.TSV,D2.TCV,D3.TAV,D5.Clothing Insulation (clo),D6.Metabolic Rate (met),Measured Height (m),E1.Indoor Air Temperature (¡æ),E2.Indoor Relative Humidity (%),E3.Indoor Air Velocity (m/s),E4.Globe Temperature (¡æ),Measured Height (m),E1.Indoor Air Temperature (¡æ),E2.Indoor Relative Humidity (%),E3.Indoor Air Velocity (m/s),E4.Globe Temperature (¡æ),Measured Height (m),E1.Indoor Air Temperature (¡æ),E2.Indoor Relative Humidity (%),E3.Indoor Air Velocity (m/s),E4.Globe Temperature (¡æ),E5.Roof Temperature (¡æ),E5.Wall Temperature (¡æ),E5.Floor Temperature (¡æ),F1.Operative Temperature (¡æ),F2.Mean Radiant Temperature (¡æ),F3.Radiant Temperature Asymmetry (¡æ),F4.PMV,F5.PPD,G1.Real-Time Outdoor Temperature (¡æ),G2.Mean Daily Outdoor Temperature (¡æ),G3.Monthly Mean Outdoor Temperature (¡æ),G4.7-Day Running Mean Outdoor Temperature (¡æ),G4.15-Day Running Mean Outdoor Temperature (¡æ),G5.Mean Daily Outdoor Relative Humidity (%),G6.Mean Daily Outdoor Air Velocity (m/s),
1,DLUT1st0001,2019-01-16 14:16:35,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,6.5¡Á3.6,NA,Male,18-30,178.0,73.0,5.0,1.0,1.0,1.0,1.19 ,1.2 ,0.1 ,19.3 ,18 ,0.00 ,23.9 ,0.6 ,20.6 ,18 ,0.01 ,23.9 ,1.1 ,22.8 ,18 ,0.01 ,23.9 ,NA,NA,NA,22.8 ,24.7 ,NA,0.28,6.64,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
2,DLUT1st0003,2019-01-16 15:14:05,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,17.6¡Á15.3,NA,Male,31-40,183.0,86.0,8.0,1.0,2.0,1.0,1.17 ,1.0 ,0.1 ,22.4 ,16 ,0.00 ,24.5 ,0.6 ,23.2 ,16 ,0.00 ,24.5 ,1.1 ,24.4 ,16 ,0.00 ,24.5 ,NA,NA,NA,23.9 ,24.5 ,NA,0.16,5.57,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
3,DLUT1st0004,2019-01-16 15:22:19,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,17.6¡Á15.3,NA,Female,31-40,165.0,64.0,35.0,2.0,1.0,1.0,0.84 ,1.0 ,0.1 ,22.8 ,16 ,0.01 ,24.7 ,0.6 ,23.4 ,16 ,0.00 ,24.7 ,1.1 ,23.5 ,16 ,0.05 ,24.7 ,NA,NA,NA,24.0 ,24.7 ,NA,-0.29,6.71,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
4,DLUT1st0005,2019-01-16 15:27:47,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,17.6¡Á15.3,NA,Male,31-40,175.0,60.0,11.0,2.0,1.0,1.0,1.45 ,1.0 ,0.1 ,23.1 ,16 ,0.00 ,24.5 ,0.6 ,23.3 ,16 ,0.00 ,24.5 ,1.1 ,23.9 ,16 ,0.00 ,24.5 ,NA,NA,NA,24.0 ,24.5 ,NA,0.46,9.46,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
5,DLUT1st0006,2019-01-16 15:35:04,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,17.6¡Á15.3,NA,Female,41-50,160.0,55.0,25.0,0.0,2.0,1.0,0.69 ,1.0 ,0.1 ,22.9 ,16 ,0.00 ,24.8 ,0.6 ,24.2 ,16 ,0.00 ,24.8 ,1.1 ,25.1 ,16 ,0.00 ,24.8 ,NA,NA,NA,24.5 ,24.8 ,NA,-0.42,8.62,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
6,DLUT1st0007,2019-01-16 15:43:10,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,17.6¡Á15.3,NA,Male,18-30,180.0,80.0,26.0,2.0,1.0,1.0,1.13 ,1.0 ,0.1 ,22.5 ,16 ,0.00 ,24.5 ,0.6 ,23.7 ,16 ,0.00 ,24.5 ,1.1 ,24.5 ,16 ,0.01 ,24.5 ,NA,NA,NA,24.1 ,24.5 ,NA,0.15,5.49,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
7,DLUT1st0008,2019-01-16 15:52:20,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,17.6¡Á15.3,NA,Male,31-40,180.0,90.0,30.0,0.0,1.0,0.1,1.17 ,1.0 ,0.1 ,22.6 ,15 ,0.00 ,24.5 ,0.6 ,24.2 ,15 ,0.00 ,24.5 ,1.1 ,24.5 ,15 ,0.00 ,24.5 ,NA,NA,NA,24.2 ,24.5 ,NA,0.23,6.09,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
8,DLUT1st0009,2019-01-16 15:57:42,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,17.6¡Á15.3,NA,Female,31-40,160.0,55.0,14.0,1.0,2.0,1.0,1.61 ,0.9 ,0.1 ,22.8 ,16 ,0.00 ,24.7 ,0.6 ,23.7 ,16 ,0.02 ,24.7 ,1.1 ,24.8 ,16 ,0.00 ,24.7 ,NA,NA,NA,24.4 ,25.0 ,NA,0.34,7.45,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
9,DLUT1st0010,2019-01-16 16:06:14,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,17.6¡Á15.3,NA,Male,31-40,180.0,70.0,7.0,2.0,1.0,0.1,1.55 ,1.0 ,0.1 ,22.9 ,15 ,0.00 ,24.8 ,0.6 ,23.7 ,15 ,0.00 ,24.8 ,1.1 ,25.1 ,15 ,0.00 ,24.8 ,NA,NA,NA,24.3 ,24.8 ,NA,0.62,13.02,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
