Season,City,Climate Zone,Building Type,Building Function,Floors,Building Operation Mode,Room Length x Width (m^2),Room Height (m),Sex,Age,Height (m),Weight (kg),Living Years,Clothing Insulation (clo),Metabolic Rate (met),Indoor Air Temperature (¡æ),Indoor Relative Humidity (%),Indoor Air Velocity (m/s),Globe Temperature (¡æ),Indoor Air Temperature 1 (¡æ),Indoor Relative Humidity 1 (%),Indoor Air Velocity 1 (m/s),Globe Temperature 1 (¡æ),Indoor Air Temperature 2 (¡æ),Indoor Relative Humidity 2 (%),Indoor Air Velocity 2 (m/s),Globe Temperature 2 (¡æ),Roof Temperature (¡æ),Wall Temperature (¡æ),Floor Temperature (¡æ),Operative Temperature (¡æ),Mean Radiant Temperature (¡æ),Radiant Temperature Asymmetry (¡æ),PMV,PPD,Real-Time Outdoor Temperature (¡æ),Mean Daily Outdoor Temperature (¡æ),Monthly Mean Outdoor Temperature (¡æ),7-Day Running Mean Outdoor Temperature (¡æ),15-Day Running Mean Outdoor Temperature (¡æ),Mean Daily Outdoor Relative Humidity (%),Mean Daily Outdoor Air Velocity (m/s)
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170.0,62.0,6.0,0.35,1.2,30.0,53,0.01,,30.0,53,0.01,,30.0,53,0.01,30.0,,,,30.0,30.0,,1.59,55.97,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170.0,62.0,6.0,0.35,1.2,30.3,53,0.35,,30.3,53,0.35,,30.3,53,0.35,30.3,,,,30.3,30.3,,1.35,42.92,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170.0,62.0,6.0,0.35,1.2,30.2,52,0.6,,30.2,52,0.6,,30.2,52,0.6,30.2,,,,30.2,30.2,,1.15,33.23,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170.0,62.0,6.0,0.35,1.2,30.4,52,0.95,,30.4,52,0.95,,30.4,52,0.95,30.4,,,,30.4,30.4,,1.12,31.48,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170.0,62.0,6.0,0.35,1.2,30.3,52,1.21,,30.3,52,1.21,,30.3,52,1.21,30.3,,,,30.3,30.3,,0.99,25.94,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170.0,62.0,6.0,0.35,1.2,30.4,52,1.71,,30.4,52,1.71,,30.4,52,1.71,30.4,,,,30.4,30.4,,0.94,23.8,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170.0,62.0,6.0,0.35,1.2,30.0,53,1.97,,30.0,53,1.97,,30.0,53,1.97,30.0,,,,30.0,30.0,,0.67,14.55,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178.0,65.0,2.0,0.35,1.2,29.8,51,0.01,,29.8,51,0.01,,29.8,51,0.01,29.8,,,,29.8,29.8,,1.5,50.88,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178.0,65.0,2.0,0.35,1.2,30.3,52,0.35,,30.3,52,0.35,,30.3,52,0.35,30.3,,,,30.3,30.3,,1.34,42.52,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178.0,65.0,2.0,0.35,1.2,29.7,53,0.6,,29.7,53,0.6,,29.7,53,0.6,29.7,,,,29.7,29.7,,0.93,23.49,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178.0,65.0,2.0,0.35,1.2,29.5,54,0.95,,29.5,54,0.95,,29.5,54,0.95,29.5,,,,29.5,29.5,,0.69,14.96,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178.0,65.0,2.0,0.35,1.2,29.9,54,1.21,,29.9,54,1.21,,29.9,54,1.21,29.9,,,,29.9,29.9,,0.8,18.65,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178.0,65.0,2.0,0.35,1.2,29.7,54,1.71,,29.7,54,1.71,,29.7,54,1.71,29.7,,,,29.7,29.7,,0.56,11.72,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178.0,65.0,2.0,0.35,1.2,29.7,54,1.97,,29.7,54,1.97,,29.7,54,1.97,29.7,,,,29.7,29.7,,0.51,10.59,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182.0,55.0,4.0,0.63,1.2,30.0,53,0.01,,30.0,53,0.01,,30.0,53,0.01,30.0,,,,30.0,30.0,,1.79,66.74,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182.0,55.0,4.0,0.63,1.2,29.9,54,0.35,,29.9,54,0.35,,29.9,54,0.35,29.9,,,,29.9,29.9,,1.54,53.04,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182.0,55.0,4.0,0.63,1.2,29.8,54,0.6,,29.8,54,0.6,,29.8,54,0.6,29.8,,,,29.8,29.8,,1.41,46.44,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182.0,55.0,4.0,0.63,1.2,29.5,55,0.95,,29.5,55,0.95,,29.5,55,0.95,29.5,,,,29.5,29.5,,1.23,36.85,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182.0,55.0,4.0,0.63,1.2,29.5,54,1.21,,29.5,54,1.21,,29.5,54,1.21,29.5,,,,29.5,29.5,,1.18,34.27,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182.0,55.0,4.0,0.63,1.2,30.4,53,1.71,,30.4,53,1.71,,30.4,53,1.71,30.4,,,,30.4,30.4,,1.46,48.94,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182.0,55.0,4.0,0.63,1.2,30.2,53,1.97,,30.2,53,1.97,,30.2,53,1.97,30.2,,,,30.2,30.2,,1.36,43.48,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,66.0,2.0,0.35,1.2,29.8,55,0.01,,29.8,55,0.01,,29.8,55,0.01,29.8,,,,29.8,29.8,,1.53,52.97,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,66.0,2.0,0.35,1.2,30.0,53,0.35,,30.0,53,0.35,,30.0,53,0.35,30.0,,,,30.0,30.0,,1.22,36.45,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,66.0,2.0,0.35,1.2,30.1,54,0.6,,30.1,54,0.6,,30.1,54,0.6,30.1,,,,30.1,30.1,,1.12,31.59,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,66.0,2.0,0.35,1.2,30.2,53,0.95,,30.2,53,0.95,,30.2,53,0.95,30.2,,,,30.2,30.2,,1.03,27.48,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,66.0,2.0,0.35,1.2,29.8,54,1.21,,29.8,54,1.21,,29.8,54,1.21,29.8,,,,29.8,29.8,,0.75,16.85,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,66.0,2.0,0.35,1.2,29.5,55,1.71,,29.5,55,1.71,,29.5,55,1.71,29.5,,,,29.5,29.5,,0.46,9.5,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,66.0,2.0,0.35,1.2,29.5,54,1.97,,29.5,54,1.97,,29.5,54,1.97,29.5,,,,29.5,29.5,,0.4,8.41,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176.0,67.0,1.0,0.4,1.2,29.8,53,0.01,,29.8,53,0.01,,29.8,53,0.01,29.8,,,,29.8,29.8,,1.56,54.53,,21.6,22.2,19.1,23.0,,
