Season,City,Climate Zone,Building Type,Building Function,Floors,Building Operation Mode,Room Length x Width (m^2),Room Height (m),Sex,Age,Height (m),Weight (kg),Living Years,Clothing Insulation (clo),Metabolic Rate (met),Indoor Air Temperature (¡æ),Indoor Relative Humidity (%),Indoor Air Velocity (m/s),Globe Temperature (¡æ),Indoor Air Temperature 1 (¡æ),Indoor Relative Humidity 1 (%),Indoor Air Velocity 1 (m/s),Globe Temperature 1 (¡æ),Indoor Air Temperature 2 (¡æ),Indoor Relative Humidity 2 (%),Indoor Air Velocity 2 (m/s),Globe Temperature 2 (¡æ),Roof Temperature (¡æ),Wall Temperature (¡æ),Floor Temperature (¡æ),Operative Temperature (¡æ),Mean Radiant Temperature (¡æ),Radiant Temperature Asymmetry (¡æ),Real-Time Outdoor Temperature (¡æ),Mean Daily Outdoor Temperature (¡æ),Monthly Mean Outdoor Temperature (¡æ),7-Day Running Mean Outdoor Temperature (¡æ),15-Day Running Mean Outdoor Temperature (¡æ),Mean Daily Outdoor Relative Humidity (%),Mean Daily Outdoor Air Velocity (m/s)
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170.0,62.0,6.0,0.35,1.2,30.0,53,0.01,,30.0,53,0.01,,30.0,53,0.01,30.0,,,,30.0,30.0,,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170.0,62.0,6.0,0.35,1.2,30.3,53,0.35,,30.3,53,0.35,,30.3,53,0.35,30.3,,,,30.3,30.3,,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170.0,62.0,6.0,0.35,1.2,30.2,52,0.6,,30.2,52,0.6,,30.2,52,0.6,30.2,,,,30.2,30.2,,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170.0,62.0,6.0,0.35,1.2,30.4,52,0.95,,30.4,52,0.95,,30.4,52,0.95,30.4,,,,30.4,30.4,,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170.0,62.0,6.0,0.35,1.2,30.3,52,1.21,,30.3,52,1.21,,30.3,52,1.21,30.3,,,,30.3,30.3,,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170.0,62.0,6.0,0.35,1.2,30.4,52,1.71,,30.4,52,1.71,,30.4,52,1.71,30.4,,,,30.4,30.4,,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170.0,62.0,6.0,0.35,1.2,30.0,53,1.97,,30.0,53,1.97,,30.0,53,1.97,30.0,,,,30.0,30.0,,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178.0,65.0,2.0,0.35,1.2,29.8,51,0.01,,29.8,51,0.01,,29.8,51,0.01,29.8,,,,29.8,29.8,,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178.0,65.0,2.0,0.35,1.2,30.3,52,0.35,,30.3,52,0.35,,30.3,52,0.35,30.3,,,,30.3,30.3,,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178.0,65.0,2.0,0.35,1.2,29.7,53,0.6,,29.7,53,0.6,,29.7,53,0.6,29.7,,,,29.7,29.7,,,24.0,22.2,19.4,23.0,,
